Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Date de cessation des paiements;\Univers\Univers\Concept\Terme métier;Date à partir de laquelle le Tribunal considère que l'entreprise n'a plus été en mesure de faire face à ses dettes.;57d3a381-36e0-4105-893a-1e7a9ae67a05;Date of cessation of payments;
\Modèle Objets Métier - MOM\Sûretés\Valorisation sûretés\Date de création de la demande de valorisation;\Univers\Univers\Univers\Terme métier;La date de création de la demande de valorisation est la date à laquelle une demande officielle est formulée pour évaluer ou estimer la valeur d'un actif, d'un investissement, d'un projet, ou d'une transaction financière. ;37a6d387-1377-4e67-9e03-0cbc7d07efdd;Valuation Request Creation Date;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Cycle de vie\Date de création opportunité;\Univers\Univers\Univers\Terme métier;Date à laquelle l'opportunité est identifiée et recensée;aac5a7d8-8b65-45e0-b25e-80975acd0ed9;;
\Modèle Objets Métier - MOM\Evénements\Structure Evénements\Date de début d'effet de l'événement;\Univers\Univers\Concept\Terme métier;Date à partir de laquelle l'événement prend effet;b9cc7c4f-e795-4484-9b4c-16661af10003;Event start Date;
\Modèle Objets Métier - MOM\Evénements\Evénements extérieurs\Date de début de la catastrophe naturelle;\Univers\Univers\Concept\Terme métier;Date à laquelle les premiers dégâts liées à une catastrophe naturelle ont étés constatés.;90a7f1dd-c5a5-4b14-8762-4fde614eaea0;Natural disaster start date;
\Modèle Objets Métier - MOM\Sûretés\Informations sûretés\Date de début de la sûreté;\Univers\Univers\Concept\Terme métier;"La date de début de la sûreté correspond à la date à partir de laquelle la sûreté est effectivement active.
En fonction du type de Sûreté, cette date est égale :
à la date de début du contrat auquel est adossée la sûreté,
à la date de contractualisation de la sûreté,
à la date de premier décaissement des fonds du contrat auquel est adossée la sûreté.
Attention, la prise en compte de la garantie dans le calcul de l’encours doit tenir compte du délai de carence.
Fiche_données_Suretés_validée - 20240329.pdf";5d8470e1-ffb9-478c-ae9d-1fa2ebee27ad;Collateral Activation Date;
\Modèle Objets Métier - MOM\Evénements\Evénements soumis au secret\Date de début de validité de mandat ad-hoc;\Univers\Univers\Concept\Terme métier;La date de début de validité de mandat ad-hoc est la date à laquelle un mandat spécifique, conféré pour une mission ou une tâche particulière, commence à être valide et opérationnel. Ce mandat ad-hoc est généralement attribué pour des situations exceptionnelles, des projets spécifiques, ou des besoins temporaires, et il définit les responsabilités, les pouvoirs, et les limites de l'autorité conférée à la personne ou à l'entité mandatée.;030f0172-58f6-4b8a-93e0-0579dc7da8e9;Ad-Hoc Mandate Start Date;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Cycle de vie\Date de début opportunité;\Univers\Univers\Univers\Terme métier;Date à laquelle l'opportunité commence à être instruite. Cette date peut être différente de la date de création de l'opportunité;81532068-a0cc-422f-94e4-c14842a8d619;;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du gestionnaire (gestion saine)\Date de décaissement;\Univers\Univers\Concept\Terme métier;Date de décaissement.;a61e1ded-e40c-4847-919c-996c0b8a9e58;Disbursement date;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du souscripteur (recouvrement)\Date de déclaration du contentieux;\Univers\Univers\Concept\Terme métier;"Date à laquelle le partenaire bancaire appelle BPIfrance pour déclarer le contentieux. Cette date peut aussi être appelée ""date d'appel de la banque"".";9c483e0d-ec43-459b-a097-61183cf762f9;Litigation declaration date;
\Modèle Objets Métier - MOM\Evénements\Actes à l'initiative du gestionnaire (souscription)\Date de demande d'affectation au middle office;\Univers\Univers\Concept\Terme métier;Date à laquelle le front office envoie la demande à la Direction de l’Expertise et du Service Client (DESC) middle office pour la mise en place du contrat.;0199af39-711e-43ae-b2f9-60d78978fd3d;Middle office transfer date;
\Modèle Objets Métier - MOM\Evénements\Actes à l'initiative du gestionnaire (souscription)\Date de demande de création de l'autorisation;\Univers\Univers\Concept\Terme métier;Date à laquelle le front office envoie la demande au middle office pour la création de l'autorisation.;27ee7dbf-dab5-4f1c-804d-704dfcdf06f8;Autorisation creation request date;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du gestionnaire (gestion saine)\Date de dernier décaissement réalisé;\Univers\Univers\Concept\Terme métier;La date de dernier décaissement réalisé est la date à laquelle le dernier paiement ou sortie de fonds a été effectué, initié par le gestionnaire dans le cadre de la gestion saine des finances de l'institution. Ces décaissements peuvent inclure des paiements de factures, des remboursements de prêts, des règlements de contrats, ou d'autres obligations financières. La gestion saine implique des pratiques de gestion financière rigoureuses, visant à assurer la solvabilité, la liquidité, et la conformité aux régulations en vigueur. ;43aba337-4add-4b98-b5ff-ce8c3b779cf3;Latest Disbursement Realized;
\Modèle Objets Métier - MOM\Evénements\Structure Evénements\Date de fin d'effet de l'évènement;\Univers\Univers\Concept\Terme métier;Date jusqu'à laquelle l'événement prend effet;f34d4b29-a756-42e5-bc26-a56bc1ac7c50;Event Termination Date;
\Modèle Objets Métier - MOM\Evénements\Evénements\Date de fin d'exécution événement;\Univers\Univers\Univers\Terme métier;Date à laquelle l'événement a terminé d'être exécuté;05b89463-e33a-4ed7-bc0d-03938f9bdf8d;Event Execution End Date;
\Modèle Objets Métier - MOM\Evénements\Evénements extérieurs\Date de fin de la catastrophe naturelle;\Univers\Univers\Concept\Terme métier;Date à laquelle la catastrophe naturelle a été déclarée comme terminée.;4b86bd95-d5cf-456d-aba8-ea208ca3b973;Natural Disaster End Date;
\Modèle Objets Métier - MOM\Sûretés\Informations sûretés\Date de fin de la sûreté;\Univers\Univers\Concept\Terme métier;"La date de fin de la sureté correspond à la date de fin de l'engagement contractuel de cette dernière.
La date de fin de la sûreté doit être définie lors de la contractualisation de la sûreté. Elle peut être notamment revue au cours de la vie de la sûreté en cas de renouvellement, de prorogation ou de réaménagement du prêt.
Fiche_données_Suretés_validée - 20240329.pdf";327290d4-5d02-4b59-98d5-0907ed5dc158;Collateral Termination Date;
\Modèle Objets Métier - MOM\Evénements\Evénements soumis au secret\Date de fin de validité de mandat ad-hoc;\Univers\Univers\Concept\Terme métier;La date de fin de validité de mandat ad-hoc est la date à laquelle un mandat spécifique, conféré pour une mission ou une tâche particulière, cesse officiellement d'être valide et opérationnel.;80459ffa-5508-45fd-b873-d49dcf4726e3;Ad-Hoc Mandate End Date;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Cycle de vie\Date de fin prévisionnelle opportunité;\Univers\Univers\Univers\Terme métier;Date à laquelle l'opportunité est sensée être temrminée. Cette date envisage l'expérimentation et le REX de l'expérimentation;c91f79aa-1ab7-4c87-b3c8-5a935a9d6a58;;
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Cycle de vie\Date de fin réelle de l'opportunité;\Univers\Univers\Univers\Terme métier;Date à laquelle l'opportunité est réellement terminée. Celle-ci peut être antérieure ou postérieure à la date de fin prévisionnelle de l'opportunité;c17aa6e9-68b8-4576-bb09-4392b6451ffa;;
\Modèle Objets Métier - MOM\Evénements\Evénements juridiques/légaux publiés\Date de jugement;\Univers\Univers\Concept\Terme métier;Date à laquelle le jugement a été prononcé.;c7c54dab-02bb-4c5a-aa3a-1b64402fa615;Judgment Decision date;
\Modèle Objets Métier - MOM\Evénements\Actions à l'initiative de l'instructeur\Date de l'évènement;\Univers\Univers\Univers\Terme métier;Date de l'évènement;4de74752-eaf1-4a09-88c4-6d563727106e;Event date;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du souscripteur (gestion saine)\Date de la demande de modification du contrat;\Univers\Univers\Concept\Terme métier;Date du courrier du partenaire ou chef de file demandant une modification du contrat.;57841717-b627-405a-ac7e-4948b7fb7f5a;Contract modification request date;
\Modèle Objets Métier - MOM\Evénements\Cycle de vie\Date de la dernière modification;\Univers\Univers\Concept\Terme métier;Date de la dernière modification effectuée sur le document;37e25340-7189-419b-9df7-d80881b69ca5;Date last Modified;
\Modèle Objets Métier - MOM\Dossier\Service Client\Date de la dernière réponse;\Univers\Univers\Univers\Terme métier;Date du dernier échange entre un client et un chargé de relation client / chargé d'affaire.;e60501ff-38d8-4b88-8243-baa6ed44850e;Customer service last response date;
\Modèle Objets Métier - MOM\Evénements\Evénements\Date de mise à jour du statut événement;\Univers\Univers\Univers\Terme métier;Date à laquelle un statut de l'événement a évolué;5d36b4cc-ee83-469e-90f3-c2d6f24e30de;Event Status Update Date;
\Modèle Objets Métier - MOM\Evénements\Compte-rendu Evénement de gestion\Date de mise à jour du statut événement de gestion;\Univers\Univers\Concept\Terme métier;Date de mise à jour du statut de l'événement de gestion;6ac4ec5d-2be1-4dd0-82d0-ec5d57db8cde;Management event status update date;
\Modèle Objets Métier - MOM\Evénements\Cycle de vie\Date de mise en GED;\Univers\Univers\Concept\Terme métier;Date de mise en GED du document;e45e432f-dd5f-44f3-a30b-8959388b8883;Date Created;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du gestionnaire (gestion saine)\Date de premier décaissement;\Univers\Univers\Concept\Terme métier;La date de premier décaissement est la date à laquelle le premier paiement ou sortie de fonds est effectué dans le cadre d'un contrat, d'un prêt, d'un projet, ou d'une autre obligation financière. Ce premier décaissement marque le début des paiements et peut inclure des avances, des paiements initiaux, ou des versements programmés. ;fb33328a-5465-47f6-8b64-80f5dcffdd75;First Disbursement Date;
\Modèle Objets Métier - MOM\Evénements\Evénements extérieurs\Date de publication de l'arrêté ministériel déclarant l'état de catastrophe naturelle;\Univers\Univers\Concept\Terme métier;Date à laquelle l'arrêté interministériel reconnaissant l'état de catastrophe naturelle a été décrété.;96546378-4750-4d16-95fd-6a835ad24823;Ministerial order date acknowledging the state of natural disaster;
\Modèle Objets Métier - MOM\Evénements\Evénements extérieurs\Date de publication de la catastrophe naturelle;\Univers\Univers\Concept\Terme métier;"Date à laquelle l'arrêté interministériel reconnaissant l'état de catastrophe naturelle a été publié au Journal Officiel.
Cette publication est particulièrement importante pour les sinistrés car elle nécessaire pour le remboursement par l'assureur.";e2c3295f-f1e8-412c-80dd-88e1f73d8998;Natural disaster official publication date;
\Modèle Objets Métier - MOM\Evénements\Actes à l’initiative du gestionnaire (recouvrement)\Date de réception de l'entrée en défaut;\Univers\Univers\Concept\Terme métier;Date à laquelle la banque est notifiée du passage de l'entrée en défaut du Tiers;0bedb815-2041-4b54-9493-c0d451cf4967;Entry of Default Notification date;
\Modèle Objets Métier - MOM\Dossier\Service Client\Date de réception de la demande;\Univers\Univers\Univers\Terme métier;Date à laquelle la demande a été reçue par l’organisation.;b038994d-9593-47b8-a92a-aed7f8719329;Customer service request receipt date;
